,name,review_count,rating,transactions,price,latitude,longitude,alias,address1,city,zip_code,display_address
276,Venezia Pizzeria,46,4.5,"['delivery', 'pickup']",$,40.85993,-73.85515,pizza,1115 Astor Ave,Bronx,10469,"['1115 Astor Ave', 'Bronx, NY 10469']"
277,L'Artusi,2037,4.5,"['delivery', 'pickup']",$$$,40.73372,-74.00513,italian,228 W 10th St,New York,10014,"['228 W 10th St', 'New York, NY 10014']"
278,Step In Restaurant,127,3.5,"['delivery', 'pickup']",$$,40.833886,-73.861084,lounges,1309 Metropolitan Ave,Bronx,10462,"['1309 Metropolitan Ave', 'Bronx, NY 10462']"
279,Keens Steakhouse,2790,4.0,['delivery'],$$$$,40.75071,-73.98652,steak,72 W 36th St,New York,10018,"['72 W 36th St', 'New York, NY 10018']"
280,Beccofino,138,4.0,['delivery'],$$,40.9053542,-73.9004326,italian,5704 Mosholu Ave,Bronx,10471,"['5704 Mosholu Ave', 'Bronx, NY 10471']"
281,Lido,1085,4.0,"['delivery', 'pickup']",$$,40.8049797781916,-73.9548260014624,italian,2168 Frederick Douglass Blvd,New York,10026,"['2168 Frederick Douglass Blvd', 'New York, NY 10026']"
282,Dino's Pizza,100,4.0,[],$,40.905006,-73.901298,pizza,5660 Mosholu Ave,Bronx,10471,"['5660 Mosholu Ave', 'Bronx, NY 10471']"
283,Wah Fung No 1,1731,4.5,['delivery'],$,40.71735,-73.99457,hotdogs,79 Chrystie St,New York,10002,"['79 Chrystie St', 'New York, NY 10002']"
284,Molly's Cupcakes,1749,4.5,"['pickup', 'delivery']",$$,40.73014,-74.00248,bakeries,228 Bleecker St,New York,10014,"['228 Bleecker St', 'New York, NY 10014']"
285,Thursday Kitchen,1557,4.5,"['delivery', 'pickup']",$$,40.72761,-73.98373,korean,424 E 9th St,New York,10009,"['424 E 9th St', 'New York, NY 10009']"
286,MAiSONETTA,36,5.0,"['delivery', 'pickup']",,40.808704,-73.929127,french,141 Lincoln Ave,Bronx,10454,"['141 Lincoln Ave', 'Bronx, NY 10454']"
287,Jean-Georges,1935,4.0,"['delivery', 'pickup']",$$$$,40.7691122743293,-73.9814290717583,french,1 Central Park W,New York,10023,"['1 Central Park W', 'New York, NY 10023']"
