,name,review_count,rating,transactions,price,latitude,longitude,alias,address1,city,zip_code,display_address
1272,Mile End Delicatessen Brooklyn,808,3.5,"['pickup', 'delivery']",$$,40.6875051,-73.9870685,delis,97A Hoyt St,Brooklyn,11217,"['97A Hoyt St', 'Brooklyn, NY 11217']"
1273,Coffee Rx,279,4.5,"['pickup', 'delivery']",$$,40.6354921703071,-74.0259379148483,coffee,6903 3rd Ave,Brooklyn,11209,"['6903 3rd Ave', 'Brooklyn, NY 11209']"
1274,Hunan Delight,331,4.0,['delivery'],$$,40.6755282563532,-73.9780712127686,chinese,752 Union St,Brooklyn,11215,"['752 Union St', 'Brooklyn, NY 11215']"
1275,Footprints Cafe,924,3.0,"['pickup', 'delivery']",$$,40.64461,-73.92119,caribbean,5814 Clarendon Rd,Brooklyn,11203,"['5814 Clarendon Rd', 'Brooklyn, NY 11203']"
1276,The Ryerson,106,4.5,"['pickup', 'delivery']",,40.67527634285857,-73.9503034,southern,698 Nostrand Ave,Brooklyn,11216,"['698 Nostrand Ave', 'Brooklyn, NY 11216']"
1277,Patrizia's - Williamsburg,729,4.0,"['pickup', 'delivery']",$$,40.7109154314181,-73.9673637711639,pizza,35 Broadway,Brooklyn,11249,"['35 Broadway', 'Brooklyn, NY 11249']"
1278,Silver Factory,245,4.5,"['restaurant_reservation', 'pickup', 'delivery']",$$,40.709227,-73.958598,korean,270 South 5th St,Brooklyn,11211,"['270 South 5th St', 'Brooklyn, NY 11211']"
1279,Mikey Likes It Ice Cream,532,4.5,"['pickup', 'delivery']",$$,40.729385,-73.981359,icecream,199 Avenue A,New York,10009,"['199 Avenue A', 'New York, NY 10009']"
1280,Salt + Charcoal,631,4.0,"['restaurant_reservation', 'pickup', 'delivery']",$$,40.71453,-73.9613511,japanese,171 Grand St,Brooklyn,11249,"['171 Grand St', 'Brooklyn, NY 11249']"
1281,LuAnne's Wild Ginger All-Asian Vegan,374,4.0,"['pickup', 'delivery']",$$,40.687936,-73.989925,asianfusion,112 Smith St,Brooklyn,11201,"['112 Smith St', 'Brooklyn, NY 11201']"
1282,Bagel Pub,368,3.5,"['pickup', 'delivery']",$,40.672237,-73.957107,breakfast_brunch,775 Franklin Ave,Brooklyn,11238,"['775 Franklin Ave', 'Brooklyn, NY 11238']"
1283,Noodle Pudding,585,4.0,['delivery'],$$,40.69979,-73.99203,italian,38 Henry St,Brooklyn,11201,"['38 Henry St', 'Brooklyn, NY 11201']"
1284,Fausto,189,4.0,['delivery'],$$$,40.67597,-73.97181,italian,348 Flatbush Ave,Brooklyn,11238,"['348 Flatbush Ave', 'Brooklyn, NY 11238']"
1285,James Provisions,467,3.5,['delivery'],$$$,40.678984,-73.971489,newamerican,605 Carlton Ave,Brooklyn,11238,"['605 Carlton Ave', 'Brooklyn, NY 11238']"
