,name,review_count,rating,transactions,price,latitude,longitude,alias,address1,city,zip_code,display_address
780,Jean-Georges,1935,4.0,"['pickup', 'delivery']",$$$$,40.7691122743293,-73.9814290717583,french,1 Central Park W,New York,10023,"['1 Central Park W', 'New York, NY 10023']"
781,Tikka N Talk,85,4.5,"['pickup', 'delivery']",$$,40.72097,-73.84639,indpak,70-11 Austin St,Forest Hills,11375,"['70-11 Austin St', 'Lower Level', 'Forest Hills, NY 11375']"
782,Nepalese Indian Restaurant,230,4.0,"['pickup', 'delivery']",$$,40.700617,-73.903777,indpak,907 Seneca Ave,Ridgewood,11385,"['907 Seneca Ave', 'Ridgewood, NY 11385']"
783,Cevabdzinica Sarajevo,171,4.0,['delivery'],$$,40.757031,-73.9218943,mediterranean,3718 34th Ave,Long Island City,11101,"['3718 34th Ave', 'Long Island City, NY 11101']"
784,Gino's of Middle Village Pizza,70,4.5,"['pickup', 'delivery']",$,40.7229424,-73.8741563,pizza,62-69 Dry Harbor Rd,Middle Village,11379,"['62-69 Dry Harbor Rd', 'Middle Village, NY 11379']"
785,Hunan Kitchen of Grand Sichuan,251,3.5,"['pickup', 'delivery']",$$,40.7539652372941,-73.8276521082348,szechuan,42-47 Main St,Flushing,11355,"['42-47 Main St', 'Flushing, NY 11355']"
786,Ida's Nearabout,139,4.5,"['pickup', 'delivery']",$$,40.7437641,-73.9208344,burgers,43-13 Queens Blvd,Sunnyside,11104,"['43-13 Queens Blvd', 'Sunnyside, NY 11104']"
787,Austin Street Pizza,143,4.0,['delivery'],$,40.71959,-73.8426,pizza,71-63 Austin St,Forest Hills,11375,"['71-63 Austin St', 'Forest Hills, NY 11375']"
788,Ugly Donuts & Corn Dogs - Flushing ,82,4.5,"['pickup', 'delivery']",$,40.7601753,-73.8271219,donuts,136-84 Roosevelt Ave,Flushing,11354,"['136-84 Roosevelt Ave', 'Flushing, NY 11354']"
789,East Ocean Palace,358,3.5,"['pickup', 'delivery']",$$,40.7177701592445,-73.8353998214006,dimsum,113-09 Queens Blvd,Forest Hills,11375,"['113-09 Queens Blvd', 'Forest Hills, NY 11375']"
790,Ziggle,47,5.0,[],$$,40.76191,-73.81541,korean,149-06 41st Ave,Flushing,11355,"['149-06 41st Ave', 'Flushing, NY 11355']"
791,Fette Sau,2280,4.0,"['pickup', 'delivery']",$$,40.714066,-73.956327,bbq,354 Metropolitan Ave,Brooklyn,11211,"['354 Metropolitan Ave', 'Brooklyn, NY 11211']"
792,iCook Buffet,288,3.5,"['pickup', 'delivery']",$$,40.7432600908448,-73.883305080235,bbq,81-17 Broadway,Elmhurst,11373,"['81-17 Broadway', 'Elmhurst, NY 11373']"
793,Court Square Diner,450,3.5,"['pickup', 'delivery']",$$,40.74608,-73.9458499,diners,45-30 23rd St,Long Island City,11101,"['45-30 23rd St', 'Long Island City, NY 11101']"
794,Legend of Taste,145,4.0,"['pickup', 'delivery']",$$,40.7794990539551,-73.7941589355469,szechuan,2002 Utopia Pkwy,Whitestone,11357,"['2002 Utopia Pkwy', 'Whitestone, NY 11357']"
795,Dun-Well Doughnuts,890,4.0,"['pickup', 'delivery']",$$,40.707743,-73.940202,donuts,222 Montrose Ave,Brooklyn,11206,"['222 Montrose Ave', 'Brooklyn, NY 11206']"
796,Quaint,243,4.0,"['pickup', 'delivery']",$$,40.746276,-73.917633,breakfast_brunch,46-10 Skillman Ave,Sunnyside,11104,"['46-10 Skillman Ave', 'Sunnyside, NY 11104']"
797,Sugar Sweet Sunshine Bakery,2099,4.0,"['pickup', 'delivery']",$,40.719851,-73.987011,bakeries,126 Rivington St,New York,10002,"['126 Rivington St', 'New York, NY 10002']"
798,Sushi Bell,186,4.0,['delivery'],$$,40.767581,-73.773181,sushi,36-28 Bell Blvd,Bayside,11361,"['36-28 Bell Blvd', 'Bayside, NY 11361']"
