,name,review_count,rating,transactions,price,latitude,longitude,alias,address1,city,zip_code,display_address
53,Traif,1938,4.5,"['pickup', 'delivery']",$$$$,40.710658,-73.958872,newamerican,229 S 4th St,Brooklyn,11211,"['229 S 4th St', 'Brooklyn, NY 11211']"
54,Thursday Kitchen,1557,4.5,"['pickup', 'delivery']",$$,40.72761,-73.98373,korean,424 E 9th St,New York,10009,"['424 E 9th St', 'New York, NY 10009']"
55,Bengal Tiger Indian Food,2089,4.5,"['pickup', 'delivery']",$$,40.763167,-73.977131,indpak,58 W 56th St,New York,10019,"['58 W 56th St', 'Fl 2', 'New York, NY 10019']"
56,The Museum of Modern Art,2054,4.5,[],,40.761441,-73.977625,artmuseums,11 West 53rd St,New York,10019,"['11 West 53rd St', 'New York, NY 10019']"
57,Eileen's Special Cheesecake,1779,4.5,"['pickup', 'delivery']",$,40.7215431969029,-73.9972332037048,bakeries,17 Cleveland Pl,New York,10012,"['17 Cleveland Pl', 'New York, NY 10012']"
58,ABC Kitchen,3072,4.0,['delivery'],$$$,40.737916,-73.989488,breakfast_brunch,35 E 18th St,New York,10003,"['35 E 18th St', 'New York, NY 10003']"
59,Daniel,1722,4.5,"['pickup', 'delivery']",$$$$,40.7667736797858,-73.967607,french,60 E 65th St,New York,10065,"['60 E 65th St', 'New York, NY 10065']"
60,Beauty & Essex,3641,4.0,"['pickup', 'delivery']",$$$,40.720434786101286,-73.98686057623863,newamerican,146 Essex St,New York,10002,"['146 Essex St', 'New York, NY 10002']"
61,Mamoun's Falafel,2486,4.0,['delivery'],$,40.7302874,-74.0004383,mideastern,119 MacDougal St,New York,10012,"['119 MacDougal St', 'New York, NY 10012']"
62,Per Se,1734,4.5,[],$$$$,40.7681528889558,-73.9827629623657,french,10 Columbus Cir,New York,10019,"['10 Columbus Cir', 'Fl 4', 'New York, NY 10019']"
63,Boucherie West Village,1983,4.5,"['pickup', 'delivery']",$$$,40.733063,-74.0028772,french,99 7th Ave S,New York,10014,"['99 7th Ave S', 'New York, NY 10014']"
64,Top Thai Greenwich,1688,4.5,"['pickup', 'delivery']",$$,40.729771,-73.999392,thai,235 Sullivan St,New York,10012,"['235 Sullivan St', 'New York, NY 10012']"
65,Bryant Park,1217,4.5,[],,40.7536079618246,-73.9832969941198,parks,41 W 40th St,New York,10018,"['41 W 40th St', 'New York, NY 10018']"
66,Cafe Habana,3211,4.0,"['pickup', 'delivery']",$$,40.722998,-73.994171,cuban,17 Prince St,New York,10012,"['17 Prince St', 'New York, NY 10012']"
67,Alimama,1520,4.5,"['pickup', 'delivery']",$$,40.715768,-73.9992981,desserts,89A Bayard St,New York,10013,"['89A Bayard St', 'New York, NY 10013']"
68,Carmine's Italian Restaurant - Times Square,3986,4.0,"['pickup', 'delivery']",$$,40.75749,-73.98662,italian,200 W 44th St,New York,10036,"['200 W 44th St', 'New York, NY 10036']"
69,Keens Steakhouse,2790,4.0,['delivery'],$$$$,40.75071,-73.98652,steak,72 W 36th St,New York,10018,"['72 W 36th St', 'New York, NY 10018']"
70,Soft Swerve,1687,4.5,"['pickup', 'delivery']",$$,40.718201,-73.991247,icecream,85B Allen St,New York,10002,"['85B Allen St', 'New York, NY 10002']"
71,Ess-a-Bagel,3950,4.0,"['pickup', 'delivery']",$,40.756300559255,-73.9703701025162,bakeries,831 3rd Ave,New York,10022,"['831 3rd Ave', 'New York, NY 10022']"
72,Ample Hills Creamery,1509,4.5,"['pickup', 'delivery']",$$,40.6786123071501,-73.9681703184027,icecream,623 Vanderbilt Ave,Brooklyn,11238,"['623 Vanderbilt Ave', 'Brooklyn, NY 11238']"
73,Joe's Pizza,2780,4.0,['delivery'],$,40.73060076,-74.00215997,pizza,7 Carmine St,New York,10014,"['7 Carmine St', 'New York, NY 10014']"
74,Top of the Rock,1675,4.5,[],,40.7593755,-73.9794036288354,landmarks,30 Rockefeller Plz,New York,10112,"['30 Rockefeller Plz', 'New York, NY 10112']"
75,The Boil,1992,4.0,"['pickup', 'delivery']",$$,40.71974,-73.99339,cajun,139 Chrystie St,New York,10002,"['139 Chrystie St', 'New York, NY 10002']"
76,Dutch Freds,1750,4.5,['delivery'],$$,40.760835,-73.987823,cocktailbars,307 W 47th St,New York,10036,"['307 W 47th St', 'New York, NY 10036']"
77,THEP Thai Restaurant,1748,4.5,"['pickup', 'delivery']",$$,40.77078,-73.95727,thai,1439 2nd Ave,New York,10021,"['1439 2nd Ave', 'New York, NY 10021']"
78,Pure Thai Cookhouse,2681,4.0,"['pickup', 'delivery']",$$,40.764291,-73.988159,thai,766 9th Ave,New York,10019,"['766 9th Ave', 'New York, NY 10019']"
79,KazuNori  | The Original Hand Roll Bar,1184,4.5,['delivery'],$$,40.74519,-73.98824,sushi,15 W 28th St,New York,10001,"['15 W 28th St', 'New York, NY 10001']"
80,Raku,1302,4.5,"['pickup', 'delivery']",$$,40.7264988089246,-73.9866526052356,japanese,342 E 6th St,New York,10003,"['342 E 6th St', 'New York, NY 10003']"
